Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2596514,11-May-23,Pennsylvania,Reading,1000 N Front St,0,0,0,0,1,N/A
2595852,11-May-23,Utah,Tooele,411 W Vine St,0,0,0,0,0,N/A
2594693,10-May-23,Illinois,Richton Park,5030 Imperial Dr,0,0,0,0,1,N/A
2596668,10-May-23,Illinois,Glen Ellyn,23W200 Butterfield Rd,0,0,0,0,1,N/A
2594470,10-May-23,Michigan,Grand Rapids,863 7th St NW,0,0,0,0,0,N/A
2594642,10-May-23,Virginia,Gretna,201 Coffey St,0,0,0,0,1,N/A
2595044,10-May-23,Texas,Amarillo,1400 N Grant St,0,0,0,0,1,N/A
2596329,10-May-23,Wisconsin,Milwaukee,5501 N 68th St,0,0,0,0,1,N/A
2593641,9-May-23,Alabama,Oakman,142 School St,0,0,0,0,2,N/A
2593442,9-May-23,Virginia,Chesterfield,17700 Longhouse Ln,0,0,0,0,1,N/A
2594567,9-May-23,Florida,Deltona,2400 Eustace Ave,0,0,0,0,1,N/A
2594090,9-May-23,Arizona,Peoria,9750 N 87th Ave,0,0,0,0,1,N/A
2593508,9-May-23,Pennsylvania,Philadelphia,201 E Olney Ave,0,0,0,0,2,N/A
2594978,9-May-23,Ohio,Warren (Champion),5976 Mahoning Ave NW,0,0,0,0,0,N/A
2596538,8-May-23,Texas,Lubbock,4910 29th Dr,0,0,0,0,0,N/A
2591797,8-May-23,Nevada,Las Vegas,2436 N Pecos Rd,1,0,0,0,1,N/A
2592201,8-May-23,North Carolina,Indian Trail,1409 Wesley Chapel Rd,0,0,0,0,0,N/A
2596580,8-May-23,South Carolina,Summerville,1101 Boone Hill Rd,0,0,0,0,1,N/A
2596042,8-May-23,New Hampshire,New Ipswich,175 Turnpike Rd,0,0,0,0,0,N/A
2592366,8-May-23,Pennsylvania,Philadelphia,2900 W Clearfield St,0,0,0,0,0,N/A
2595641,8-May-23,Mississippi,Bay Saint Louis (Bay St Louis),N/A,0,0,0,0,1,N/A
2589416,5-May-23,Texas,Irving,3700 N MacArthur Blvd,0,0,0,0,2,N/A
2590615,5-May-23,Texas,Bullard,2016 Panther Crossing,0,0,0,0,1,N/A
2594601,4-May-23,Mississippi,Bay Saint Louis,750 Blue Meadow Rd,0,0,0,0,1,N/A
