"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested",Operations
2614603,"May 31, 2023",California,Menifee,"28100 Calm Horizon Dr",0,0,0,0,1,N/A
2612910,"May 31, 2023",Arizona,Chandler,"3930 W Monterey St",1,0,1,0,0,N/A
2613337,"May 31, 2023","New York","New York (Manhattan)","333 E 115th St",0,1,0,0,0,N/A
2614353,"May 31, 2023",Ohio,Cleveland,"400 block of E 123rd St",1,3,0,0,0,N/A
2614055,"May 31, 2023",Tennessee,Nashville,"1700 block of Jenkins St",0,1,0,0,0,N/A
2613532,"May 31, 2023",Virginia,Richmond,"6901 Messer Rd",0,0,0,0,1,N/A
2614328,"May 31, 2023",Ohio,Cleveland,"900 block of E 141st St",1,0,0,0,1,N/A
2613986,"May 31, 2023",Illinois,Springfield,"300 block of S Paul St",1,1,0,0,1,N/A
2613694,"May 31, 2023",Missouri,"Kansas City","3156 Troost Ave",1,2,0,0,0,N/A
2614297,"May 31, 2023",Wisconsin,Milwaukee,"1900 block of N 39th St",0,1,0,0,1,N/A
2612845,"May 31, 2023","New York","Corona (Queens)","123-20 82nd Ave",0,0,1,0,0,N/A
2616409,"May 31, 2023",Mississippi,Alligator,"9 Burchfield Rd",1,0,0,0,1,N/A
2613245,"May 31, 2023",Pennsylvania,Philadelphia,"2800 block of Jasper St",0,1,1,0,0,N/A
2613604,"May 31, 2023",Colorado,Thornton,"4800 block of Eliot St",0,0,0,1,0,N/A
2613350,"May 31, 2023","New York",Brooklyn,"821 Franklin Ave",0,2,0,0,0,N/A
2613375,"May 31, 2023",Ohio,Cincinnati,"73 E McMicken Ave",0,4,0,0,0,N/A
2613411,"May 31, 2023",Florida,Tallahassee,"800 block of Cochran Dr",1,0,0,0,0,N/A
2614262,"May 31, 2023",Virginia,"Newport News","1100 block of 28th St",0,1,0,0,0,N/A
2613371,"May 31, 2023",Texas,"Wichita Falls","5131 Greenbriar Rd",0,1,0,0,0,N/A
2614260,"May 31, 2023",Virginia,Scottsville,"3200 block of Jefferson Mill Rd",0,1,0,0,0,N/A
2613356,"May 31, 2023",Ohio,Columbus,"1800 block of Linwood Ave",0,1,0,0,0,N/A
2613423,"May 31, 2023",Illinois,"River Grove","2400 block of West St",1,0,0,0,0,N/A
2614237,"May 31, 2023",California,"Los Angeles","1567 E 33rd St",0,1,0,0,0,N/A
2614230,"May 31, 2023",Nebraska,Omaha,"N 30th St and Hamilton St",0,1,0,0,0,N/A
2614225,"May 31, 2023",Nebraska,Omaha,"N 49th St and Hamilton St",0,1,0,0,0,N/A
2613446,"May 31, 2023",Michigan,"Grand Rapids","333 Commerce Ave SW",1,0,0,0,1,N/A
2613303,"May 31, 2023",Florida,"Fort Lauderdale (Lauderhill)","2200 block of NW 59th Terrace",1,1,0,0,0,N/A
2613583,"May 31, 2023",Virginia,Alexandria,"5400 block of Richenbacher Ave",0,2,0,0,0,N/A
2613286,"May 31, 2023",Texas,"San Antonio","200 block of N General McMullen Dr",0,1,0,0,0,N/A
2613276,"May 31, 2023",Florida,Jacksonville,"1200 block of Lane Ave S",1,0,0,0,0,N/A
2614052,"May 31, 2023",Texas,Arlington,"3000 block of Amberway Dr",1,0,0,0,1,N/A
2613425,"May 31, 2023",Ohio,Cincinnati,"900 block of Enright Ave",1,0,0,0,0,N/A
2613261,"May 31, 2023",Tennessee,Murfreesboro,"1664 Middle Tennessee Blvd",0,1,0,0,1,N/A
2613257,"May 31, 2023",Tennessee,Memphis,"3969 Willow Cove",1,0,0,0,0,N/A
2613501,"May 31, 2023","New York",Bronx,"1375 College Ave",1,0,0,0,0,N/A
2613241,"May 31, 2023",Tennessee,Memphis,"1192 Jackson Ave",0,2,0,0,0,N/A
2614145,"May 31, 2023",Georgia,Atlanta,N/A,1,0,0,0,4,N/A
2614129,"May 31, 2023",Georgia,Atlanta,"I-75 and I-285",0,1,0,0,0,N/A
2613543,"May 31, 2023",Texas,"Haltom City","5641 Santa Fe Trl",1,0,1,0,0,N/A
2614123,"May 31, 2023","New York",Syracuse,"2000 block of E Fayette St",0,1,0,0,0,N/A
