Incident ID,Incident Date,State,City Or County,Address,# Victims Killed,# Victims Injured,# Subjects-Suspects Killed,# Subjects-Suspects Injured,# Subjects-Suspects Arrested,Operations
2536853,2023-03-01,Virginia,Colonial Heights,1700 block of Ruffin Mill Rd,0,1,0,0,1,N/A
2537746,2023-03-01,Louisiana,Baton Rouge,7000 block of Burbank Dr,0,1,0,0,1,N/A
2536464,2023-03-01,Pennsylvania,Mckeesport,2901 Brownlee St,2,1,0,0,0,N/A
2536461,2023-03-01,Pennsylvania,Mckeesport,3100 block of Versailles Ave,1,0,0,0,0,N/A
2536823,2023-03-01,District of Columbia,Washington,800 block of Underwood St NE,1,0,0,0,0,N/A
2536845,2023-03-01,Illinois,Chicago,1400 block of W 78th St,0,2,0,0,0,N/A
2536841,2023-03-01,Illinois,Chicago,S Carondolet Ave and E 134th St,0,1,0,0,0,N/A
2536837,2023-03-01,Virginia,Norfolk,6100 block of Wayne Cir,0,1,0,0,0,N/A
2536180,2023-03-01,Ohio,Columbus,6176 Cleveland Ave,2,1,0,0,1,N/A
2538975,2023-03-01,Maryland,Hyattsville (Landover Hills),Annapolis Rd,0,1,0,0,0,N/A
2536807,2023-03-01,Arkansas,Jonesboro,4208 Chieftan Ln,0,0,0,0,1,N/A
2537671,2023-03-01,Missouri,Saint Louis (Ferguson),9400 block of Coppercreek Rd,1,0,0,0,0,N/A
2536894,2023-03-01,Virginia,Norfolk,900 block of Bagnall Rd,0,2,0,0,0,N/A
2536851,2023-03-01,Tennessee,Kingsport,Hillandale Dr,0,0,0,1,0,N/A
2536849,2023-03-01,Tennessee,Mountain City,200 Pedro Shoun Ln,0,0,1,0,0,N/A
2538408,2023-03-01,Mississippi,Greenville,400 block of Etta Ln,1,0,0,0,1,N/A
2536839,2023-03-01,Virginia,Virginia Beach,196 Ballard Ct,1,0,0,0,2,N/A
2537042,2023-03-01,North Dakota,Jamestown,919 4th Ave NE,0,0,0,1,0,N/A
2537625,2023-03-01,Wisconsin,Milwaukee,4200 block of W Auer Ave,0,1,0,0,0,N/A
2536521,2023-03-01,Michigan,Detroit,3700 block of Wager Ave,1,1,0,0,0,N/A
