"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested",Operations
2551487,"March 20, 2023","New York",Brooklyn,"2355 Batchelder St",1,0,0,0,0,N/A
2549957,"March 20, 2023",Texas,Arlington,"1400 W Lamar Blvd",1,1,0,0,1,N/A
2550317,"March 20, 2023","New York",Rochester,"Barrington St",0,0,1,0,0,N/A
2550522,"March 20, 2023",Kansas,"Fort Riley","Trooper Dr",0,0,0,1,0,N/A
2554741,"March 20, 2023",Texas,Victoria,"3100 block of Greenwood Dr",0,1,0,0,0,N/A
2550492,"March 20, 2023",Kentucky,Louisville,"4600 block of Hendrik Dr",0,1,0,0,0,N/A
2550322,"March 20, 2023",Virginia,Manassas,"6330 Hoadly Rd",1,0,0,0,1,N/A
2559076,"March 20, 2023",Mississippi,"Water Valley",MS-315,1,0,0,0,0,N/A
2552231,"March 20, 2023",Indiana,Muncie,"16th St and Ebright St",0,1,0,0,2,N/A
2550439,"March 20, 2023",Tennessee,Memphis,"2400 block of Ball Road",1,0,0,0,1,N/A
2550691,"March 20, 2023",Massachusetts,Springfield,"100 Belmont Ave",1,0,0,0,2,N/A
2551427,"March 20, 2023",Alabama,Fairfield,"Ave C",0,1,0,0,0,N/A
2550444,"March 20, 2023",Tennessee,Memphis,"5088 Urbana Rd",1,0,0,0,1,N/A
2551663,"March 20, 2023",Washington,"Seattle (Ballard)","800 block of NW 54th St",0,1,1,0,0,N/A
2551812,"March 20, 2023",Pennsylvania,Hilliards,"462 Kohlmeyer Rd",0,0,1,0,0,N/A
2550552,"March 20, 2023",Ohio,Cleveland,"3800 block of W 31st St",1,1,0,0,1,N/A
2550413,"March 20, 2023",Delaware,Wilmington,"50 block of Gordon St",0,1,0,0,0,N/A
2552592,"March 20, 2023",California,Palmdale,"Fifth St E and Ave Q-7",1,0,0,0,0,N/A
2550389,"March 20, 2023",Virginia,Chesapeake,"1400 block of George Washington Hwy N",0,1,0,0,0,N/A
2550382,"March 20, 2023",Georgia,Atlanta,"3277 Buford Hwy NE",0,1,0,0,0,N/A
2550376,"March 20, 2023",Texas,Houston,"5900 block of Schroeder Rd",0,1,0,0,0,N/A
2550368,"March 20, 2023",Maryland,"Upper Marlboro","13400 block of Water Fowl Way",0,1,0,0,0,N/A
2553530,"March 20, 2023",Minnesota,Onamia,"14200 Twilight Rd",1,0,0,0,1,N/A
2550174,"March 20, 2023",Texas,"San Antonio","13121 NW Military Hwy",2,0,1,0,0,N/A
2551275,"March 20, 2023",Michigan,Detroit,"St Marys St and Fenkell Ave",1,2,0,0,0,N/A
2550716,"March 20, 2023","New York",Brooklyn,"1608 Sterling Pl",1,0,0,0,0,N/A
2551335,"March 20, 2023",Virginia,Waynesboro,"Ohio St and N Magnolia Ave",0,1,0,0,0,N/A
2550701,"March 20, 2023",Connecticut,Meriden,"W Main St and Lewis Ave",1,1,0,1,1,N/A
2551329,"March 20, 2023",Tennessee,Blountville,"300 block of Cave Hill Rd",0,1,0,0,0,N/A
2550202,"March 20, 2023",Michigan,Detroit,"14800 block of Lesure St",0,2,0,0,1,N/A
2550152,"March 20, 2023",Minnesota,Minneapolis,"2700 block of Portland Ave",0,1,0,0,0,N/A
2550830,"March 20, 2023",Arizona,Tucson,"800 block of East Alturas St",1,0,0,0,0,N/A
2550808,"March 20, 2023",California,"Los Angeles","76th St and S Main St",0,3,0,0,0,N/A
2550218,"March 20, 2023",Tennessee,Nashville,"3414 Percy Priest Dr",0,1,0,0,1,N/A
2551258,"March 20, 2023","South Carolina",Columbia,"300 block of Creek Dr",1,0,0,0,0,N/A
2551197,"March 20, 2023",Virginia,"Virginia Beach","5100 Cleveland St",0,0,0,0,1,N/A
2549981,"March 20, 2023",Texas,Houston,"5712 S Gessner Rd",0,0,1,1,0,N/A
2552253,"March 20, 2023","North Carolina","Roanoke Rapids","200 block of Madison St",0,1,0,0,0,N/A
2550291,"March 20, 2023",Michigan,Detroit,"Roxbury St and Whittier Ave",0,1,0,0,0,N/A
2551223,"March 20, 2023",Indiana,Evansville,"200 block of E Missouri St",0,0,1,0,0,N/A
2550145,"March 20, 2023",Minnesota,"Howard Lake","300 Dura Dr",1,0,0,0,1,N/A
2550370,"March 20, 2023",Wisconsin,Middleton,"3012 Parmenter St",1,0,0,0,1,N/A
2555695,"March 20, 2023",Missouri,Barnhart,I-55,0,0,1,0,0,N/A
2550749,"March 20, 2023",Wisconsin,Milwaukee,"N 14th St and W Concordia Ave",1,5,0,0,1,N/A
2551039,"March 20, 2023",Indiana,Indianapolis,"7024 N Keystone Ave",0,1,0,0,1,N/A
2550638,"March 20, 2023",Pennsylvania,Scranton,"1900 block of Price St",0,2,1,0,0,N/A
2550159,"March 20, 2023","New Mexico",Carlsbad,"4301 National Parks Hwy",0,0,1,0,0,N/A
2551101,"March 20, 2023",Pennsylvania,Philadelphia,"6601 Lansdowne Ave",1,0,0,0,0,N/A
2550555,"March 20, 2023",Texas,"San Antonio","2700 block of E Commerce St",0,1,0,0,0,N/A
2549896,"March 20, 2023",Georgia,Conyers,"3707 Sugar Creek Ln",3,0,0,0,1,N/A
2550150,"March 20, 2023",Alabama,Birmingham,"300 block of 1st Ave N",1,0,0,0,0,N/A
2550366,"March 20, 2023",Georgia,Bogart,"1081 Rocky Branch Rd",0,0,0,0,0,N/A
2550696,"March 20, 2023",Mississippi,Greenwood,"Ave H and Short St",1,0,0,0,0,N/A
2551007,"March 20, 2023",Alabama,Birmingham,"500 block of Buffalo St",1,0,0,0,0,N/A
2551020,"March 20, 2023",Georgia,Carrollton,N/A,0,1,0,0,1,N/A
2551012,"March 20, 2023",Georgia,Atlanta,"2423 Martin L King JR. Dr",0,1,0,0,0,N/A
2551009,"March 20, 2023",Texas,Borger,"300 block of Madison St",0,2,0,0,0,N/A
2550117,"March 20, 2023",Florida,Tampa,"1600 E 8th Ave",0,1,0,0,0,N/A
2552714,"March 20, 2023",Georgia,Sylvester,N/A,0,0,0,0,2,N/A
2551863,"March 20, 2023",Texas,Robstown,"500 block of Indiana St",0,1,0,0,0,N/A
2550103,"March 20, 2023",Florida,Davenport,"4525 County Rd 547",0,0,0,0,0,N/A
2550092,"March 20, 2023",Florida,"Hollywood (Pembroke Park)","Hallandale Beach Blvd and SW 55th Ave",1,0,0,0,0,N/A
2553994,"March 20, 2023",Pennsylvania,Philadelphia,"800 block of N 66th St",1,0,0,0,0,N/A
2550904,"March 20, 2023",Florida,Sebring,"418 Martin Luther King Jr Blvd",0,1,0,0,0,N/A
2553979,"March 20, 2023",Pennsylvania,Philadelphia,"1100 block of Passmore St",0,1,0,0,0,N/A
2552372,"March 20, 2023",Arkansas,"Pine Bluff","1707 S Oak St",0,1,0,0,2,N/A
2550795,"March 20, 2023",California,Fresno,"4700 block of E Hamilton Ave",0,0,1,0,0,N/A
2549923,"March 20, 2023",Maryland,"District Heights","6200 block of Alpine St",1,0,0,0,0,N/A
2559783,"March 20, 2023",Washington,Sunnyside,"I-82 and W Sunnyside Rd",0,2,0,0,0,N/A
2549944,"March 20, 2023",Indiana,Indianapolis,"3400 block of Seine Ct",0,1,0,0,0,N/A
2549937,"March 20, 2023",Illinois,Chicago,"5300 block of S Carpenter St",0,1,0,0,0,N/A
2550557,"March 20, 2023",Louisiana,Eunice,"Beulah St and Maple St",1,0,0,0,3,N/A
2550909,"March 20, 2023",California,Menifee,"7700 block of Watson Rd",1,0,0,0,1,N/A
2549925,"March 20, 2023",Maryland,Baltimore,"300 block of N Fremont Ave",0,1,0,0,0,N/A
2556439,"March 20, 2023",Ohio,Columbus,"Refugee Rd and Noe Bixby Rd",0,1,0,0,0,N/A
2552519,"March 20, 2023",Montana,Billings,"200 block of N 18th St",1,0,0,0,0,N/A
2550712,"March 20, 2023","New York","Corona (Queens)","111-26 Inwood St",0,1,0,0,0,N/A
2550709,"March 20, 2023","New York",Bronx,"1296 Washington Ave",0,1,0,0,0,N/A
2550706,"March 20, 2023","New York",Brooklyn,"549 Nostrand Ave",0,1,0,0,0,N/A
2552509,"March 20, 2023",Alabama,"Town Creek","300 block of Co Rd 134",0,1,0,0,0,N/A
2551629,"March 20, 2023",Ohio,Dayton,"West Mumma Ave",0,1,0,0,0,N/A
2551609,"March 20, 2023",Mississippi,Richton,"1213 MS-15",0,0,0,0,0,N/A
2552484,"March 20, 2023",Massachusetts,Springfield,"100 block of Mattoon St",1,0,0,0,0,N/A
2550671,"March 20, 2023",Pennsylvania,Philadelphia,"S 60th St and Market St",0,1,0,0,0,N/A
2550669,"March 20, 2023",Pennsylvania,Philadelphia,"3000 block of Ella St",0,1,0,0,0,N/A
2550666,"March 20, 2023",Pennsylvania,Philadelphia,"5321 Wayne Ave",0,1,0,0,1,N/A
2551594,"March 20, 2023",Louisiana,"New Orleans","6700 block of Cindy Pl",0,1,0,0,0,N/A
2551591,"March 20, 2023",Louisiana,"New Orleans","4500 block of Francis Dr",0,1,0,0,0,N/A
2550636,"March 20, 2023",Louisiana,"New Orleans","2500 block of Annette St",0,1,0,0,0,N/A
2554574,"March 20, 2023",Texas,"Tyler (county)","Pine St",0,1,0,0,1,N/A
2551037,"March 20, 2023",Wisconsin,Milwaukee,"6530 W Fond Du Lac Ave",1,0,0,0,0,N/A
2550888,"March 20, 2023",Texas,Amarillo,"S Tyler St and SW 2nd Ave",1,0,0,0,1,N/A
2550605,"March 20, 2023",Louisiana,"New Orleans","N Rampart St and Toulouse St",0,1,0,0,0,N/A
2550618,"March 20, 2023",Louisiana,"New Orleans","2400 block of N Villere St",1,0,0,0,0,N/A
2550596,"March 20, 2023",Nebraska,Omaha,"4123 W St",0,1,0,0,2,N/A
2550466,"March 20, 2023",Texas,"League City","130 Magnolia Estates Dr",1,0,1,0,0,N/A
2550609,"March 20, 2023",Louisiana,"New Orleans","6000 block of Chef Menteur Hwy",1,0,0,0,0,N/A
2550189,"March 20, 2023",Alabama,Birmingham,"300 block of 74th St",1,0,0,0,2,N/A
2550432,"March 20, 2023",Arkansas,"Hot Springs National Park (Hot Springs)","600 block of Laser St",1,0,0,0,0,N/A
2550565,"March 20, 2023",Pennsylvania,Philadelphia,"5500 block of Lansdowne Ave",0,1,0,0,0,N/A
2550245,"March 20, 2023",Pennsylvania,Philadelphia,"1558 Frazier St",0,3,0,0,0,N/A
2553086,"March 20, 2023",Missouri,Troy,"E Cherry St and Eames St",2,0,0,0,1,N/A
2550437,"March 20, 2023",Arkansas,Jonesboro,"212 Rogers St",0,1,0,0,1,N/A
2551495,"March 20, 2023","New York",Brooklyn,"845 Alabama Ave",0,1,0,0,0,N/A
2550728,"March 19, 2023","New York",Bronx,"4702 White Plains Rd",1,1,0,0,0,N/A
2550476,"March 19, 2023",Kentucky,Louisville,"6101 Dutchmans Ln",0,1,0,0,1,N/A
2551480,"March 19, 2023","New York","Greenfield Center (Greenfield)","Howe Rd",1,0,0,0,0,N/A
2549780,"March 19, 2023","District of Columbia",Washington,"5000 block of Hunt St NE",0,1,0,0,0,N/A
2549757,"March 19, 2023","New York","Corona (Queens)","61 32 229th St",0,1,0,0,0,N/A
2549851,"March 19, 2023",Kansas,Wichita,"1000 block of N Main St",0,1,0,0,0,N/A
2549774,"March 19, 2023","New York",Bronx,"1085 Nelson Ave",0,1,0,0,0,N/A
2549517,"March 19, 2023","North Carolina",Cary,"600 block of Dorset Dr",0,1,0,0,0,N/A
2549772,"March 19, 2023",Colorado,Aurora,N/A,0,1,0,0,0,N/A
2551447,"March 19, 2023",Nebraska,"Grand Island","1000 block of S Greenwich St",0,1,0,0,1,N/A
2550526,"March 19, 2023",Texas,Lubbock,"46th Ave and Ave N",0,2,0,0,0,N/A
2549765,"March 19, 2023","New York",Bronx,"613 E 187th St",1,1,0,0,0,N/A
2549763,"March 19, 2023",Pennsylvania,"Old Forge","100 block of Exeter Cir",0,1,0,0,0,N/A
2550195,"March 19, 2023","North Carolina",Charlotte,"4430 The Plaza",2,0,0,0,1,N/A
2549742,"March 19, 2023",Tennessee,Memphis,"1200 block of Longcrest Rd",0,1,0,0,1,N/A
2549759,"March 19, 2023",Pennsylvania,Pittsburgh,"5400 block of Penn Ave",0,1,0,0,0,N/A
2549680,"March 19, 2023",Tennessee,Chattanooga,"1600 block of E 26th St",0,1,0,0,0,N/A
2550403,"March 19, 2023",Georgia,Manchester,"100 block of Tuskegee Ln",0,1,0,0,0,N/A
2549903,"March 19, 2023",Maine,"Boothbay Harbor","2 Andrea Ln",0,1,0,0,1,N/A
2550387,"March 19, 2023",Georgia,Columbus,"1720 Fountain Ct",0,1,0,0,0,N/A
2549776,"March 19, 2023",Colorado,Denver,"620 Santa Fe Dr",1,0,0,0,1,N/A
2558941,"March 19, 2023","South Carolina",Conway,"100 Chanticleer Dr E",0,0,0,0,1,N/A
2549734,"March 19, 2023",California,"Long Beach","2900 block of Ocean Blvd",0,1,0,0,0,N/A
2550698,"March 19, 2023","New Jersey",Newark,"Clinton Ave and Hillside Ave",0,1,0,0,0,N/A
2549570,"March 19, 2023",Georgia,Augusta,"3132 Peach Orchard Rd",1,0,0,0,1,N/A
2549853,"March 19, 2023",Minnesota,Minneapolis,"319 N 1st Ave",0,1,0,0,0,N/A
2550359,"March 19, 2023",Georgia,Macon,"2700 block of Alandale Dr",0,1,0,0,1,N/A
2550357,"March 19, 2023",Maryland,Baltimore,"3700 block of Marmon Ave",0,1,0,0,0,N/A
2549878,"March 19, 2023",Arkansas,Texarkana,"Pinehurst St and Grove St",1,1,0,0,3,N/A
2550346,"March 19, 2023",Georgia,Atlanta,"300 Wilson Mill Rd SW",0,2,0,0,0,N/A
2550340,"March 19, 2023",Tennessee,Springfield,"1004 Memorial Blvd",0,1,0,0,0,N/A
2549716,"March 19, 2023",Illinois,Chicago,"7600 block of S Essex Ave",0,1,0,0,0,N/A
2549636,"March 19, 2023",Virginia,Williamsburg,"700 block of Scotland St",0,3,0,0,1,N/A
2549702,"March 19, 2023",Tennessee,Memphis,"4100 block of Ward Ave",0,1,0,0,0,N/A
2550324,"March 19, 2023",Alabama,Selma,"1800 block of AL-14",1,0,0,0,0,N/A
2549699,"March 19, 2023",Tennessee,Clinton,"556 Pine Ridge Rd",0,1,0,1,1,N/A
2549692,"March 19, 2023",Michigan,Detroit,"3100 block of Helen St",1,0,0,0,0,N/A
2551295,"March 19, 2023",California,Lompoc,"400 block of W Ocean Ave",0,1,0,0,0,N/A
2549886,"March 19, 2023",Alabama,Talladega,"500 Sloan Ave W",2,1,0,0,2,N/A
2549858,"March 19, 2023",Connecticut,Waterbury,"300 Hill St",1,0,0,0,0,N/A
2549678,"March 19, 2023",Kentucky,Louisville,"W Kentucky St and Dr W J Hodge St",0,1,0,0,0,N/A
2552543,"March 19, 2023",California,Anaheim,"500 block of S Brookhurst St",0,1,0,0,1,N/A
2549598,"March 19, 2023",Delaware,Newark,"2400 block of Old County Rd",1,0,0,0,1,N/A
2550230,"March 19, 2023",Virginia,"Glen Allen","4000 block of Cox Rd",0,0,1,0,0,N/A
2549939,"March 19, 2023",Illinois,Dekalb,"847 Russell Rd",1,0,0,0,1,N/A
2550227,"March 19, 2023",Utah,Tooele,"500 block of Sunset Ave",0,1,0,0,1,N/A
2550261,"March 19, 2023",Michigan,"Benton Harbor","2700 block of Townline Rd",1,0,0,0,1,N/A
2551193,"March 19, 2023",Texas,"Fort Worth","1500 block of E Hattie St",1,0,0,0,0,N/A
2550257,"March 19, 2023",Alabama,"Town Creek","300 block of Co Rd 134",0,1,0,0,0,N/A
2549536,"March 19, 2023",Maryland,Baltimore,"716 S Broadway",0,0,0,1,0,N/A
2549643,"March 19, 2023",Maryland,"Glen Burnie","Winding Wood Rd and Green Branch Ln",0,1,0,0,0,N/A
2550684,"March 19, 2023",Colorado,"Commerce City","5400 block of E 67th Ave",1,0,0,0,0,N/A
2550004,"March 19, 2023",California,"Oroville (Thermalito)","US-162 and 14th St",0,1,0,0,1,N/A
2550243,"March 19, 2023",Illinois,Hopedale,N/A,0,1,0,0,0,N/A
